probability,id,label
0.011885643,3995,0
0.99220794,12476,1
0.84153414,6055,1
0.8882824,5301,1
0.88613904,11320,1
0.0015674531,7978,0
0.00034046173,10431,0
0.99505854,43,1
0.9753126,10968,1
0.60770637,1629,1
0.04707959,6998,0
0.041350603,10711,0
0.9938797,2103,1
0.9997789,5236,1
0.99033433,6384,1
0.86830455,595,1
0.96851623,1671,1
0.013552636,1894,0
0.0055369735,7241,0
0.9953544,6469,1
0.9770812,2642,1
0.037252724,12355,0
0.96370137,10098,1
0.44189128,1887,0
0.0010813526,10236,0
0.16480586,778,0
0.9970319,5427,1
0.6387184,5430,1
0.9431474,635,1
0.9965078,4952,1
0.9510766,5021,1
0.026603878,324,0
0.09478161,2289,0
0.9935242,10304,1
0.9996841,10242,1
0.74255335,10609,1
0.9759634,4802,1
0.6581615,11227,1
0.027218755,12083,0
0.00042653564,7926,0
0.006692651,10158,0
0.32249326,8923,0
0.026408019,653,0
0.005091239,838,0
0.9997471,10932,1
0.08146703,9688,0
0.005891651,174,0
0.99119765,11725,1
0.36960673,10330,0
0.0024081469,1485,0
0.012353331,4660,0
0.90005505,4861,1
0.9800264,2544,1
0.9285614,10898,1
0.09586495,6968,0
0.99999785,2617,1
0.12336236,6864,0
0.9023295,8721,1
0.99713135,2358,1
0.98811823,6741,1
0.0025089383,6638,0
0.061371356,6889,0
0.92789805,626,1
0.02222994,7029,0
0.064329624,8714,0
0.9806709,3238,1
0.0008699298,5622,0
0.98662543,4897,1
0.0004128902,11481,0
0.9885908,6811,1
0.3571615,10882,0
0.99783945,5450,1
0.3928015,307,0
0.57255685,1143,1
0.89289457,9274,1
0.9482027,11165,1
0.979656,2740,1
0.010916233,9957,0
0.9623778,4415,1
0.007049829,3392,0
0.997195,6619,1
0.0012683868,4111,0
0.0055550337,7,0
0.99658763,3855,1
0.96628255,2217,1
0.02648288,8356,0
0.037732266,7050,0
0.9495844,9613,1
0.12276973,6296,0
0.97032154,11486,1
0.97352743,6928,1
0.99514276,2996,1
0.06966409,3165,0
0.072686076,973,0
0.011025339,11788,0
0.81887096,8260,1
0.8122175,8643,1
0.00762403,10650,0
0.08408063,5666,0
0.6646459,11326,1
0.9142659,11002,1
0.96812016,11541,1
0.009739834,7118,0
0.99101615,7967,1
0.24668601,9423,0
0.06347036,5355,0
0.0018526018,6878,0
0.5662271,9175,1
0.9939363,963,1
0.99809945,2600,1
0.96325654,10782,1
0.9630197,9505,1
0.16803858,11606,0
0.227484,4878,0
0.9690563,7344,1
0.9991241,6499,1
0.015541131,10377,0
0.9961008,9312,1
0.046004508,12280,0
0.99245864,7758,1
0.6863744,9605,1
0.0012672842,9582,0
5.635619e-05,2480,0
0.9985319,1284,1
0.999625,3334,1
0.065017045,8252,0
0.017855763,11004,0
0.0028008223,6893,0
0.03213898,1465,0
0.78117,62,1
0.72529,3139,1
0.99283123,6585,1
0.99444383,10632,1
0.99697554,3973,1
0.95141304,11952,1
0.91278917,9117,1
0.00049844384,5529,0
0.87612,3052,1
0.015388906,3084,0
0.9476899,3089,1
0.9814942,6886,1
2.115965e-06,737,0
0.05170822,8854,0
0.99825054,8733,1
0.5183992,6562,1
0.071673,9459,0
0.99994683,4535,1
0.049516667,7757,0
0.99481934,9427,1
0.017488759,4839,0
0.9776458,10651,1
0.48465458,6993,0
0.0024751425,10055,0
0.8829476,3115,1
0.07941979,1474,0
0.041644186,11465,0
0.2141281,6880,0
0.99840325,5291,1
0.99733293,8884,1
0.09614605,96,0
0.9924624,6703,1
0.04685672,1352,0
0.0004496655,2545,0
0.0037586745,8218,0
0.83309925,333,1
0.5041298,1873,1
0.023929447,7710,0
0.9958172,12281,1
0.042343706,9318,0
0.9974432,9647,1
0.97189975,3105,1
0.04009652,1510,0
0.9758519,6331,1
0.99698895,3997,1
0.8257005,1055,1
0.26558706,948,0
0.74846816,12231,1
0.8333916,9583,1
0.08115201,10626,0
0.0033249913,5626,0
0.9535016,10724,1
0.0006714463,8678,0
0.9995395,42,1
0.59821206,10142,1
0.99877703,1136,1
0.99999785,3128,1
0.698555,11036,1
0.054264516,9716,0
0.92042875,8950,1
0.09116736,7030,0
0.010919798,1958,0
0.980906,4009,1
0.79090416,8620,1
0.9954904,12260,1
0.03239287,6575,0
0.9995414,7256,1
0.106156886,12399,0
0.13039646,6083,0
0.95581,5305,1
0.49054325,1517,0
0.9724026,3615,1
0.9229442,12375,1
0.024908006,8495,0
0.0009336651,8617,0
0.86631054,11837,1
0.92434984,1172,1
0.01326529,9229,0
0.857467,9102,1
8.7697044e-05,10363,0
0.9964316,9646,1
0.8771468,8060,1
0.007918,1533,0
0.2552756,1747,0
0.11072701,5885,0
0.7268927,7473,1
0.015508443,12102,0
0.18459666,8184,0
0.006208688,3898,0
0.069785304,2298,0
0.0005606122,3236,0
0.9777303,4174,1
0.9994342,4165,1
0.00091852044,10978,0
0.16483653,10057,0
0.012097148,5499,0
0.2430925,6950,0
0.14780656,11873,0
0.9931114,7798,1
0.96212006,12074,1
0.98676574,686,1
0.71765816,8264,1
0.020449728,11144,0
0.99999,12207,1
0.016520543,7867,0
0.006077525,8401,0
0.999265,5394,1
0.9811317,969,1
0.02828815,7284,0
0.9947418,4718,1
0.9948213,6835,1
0.99912775,2009,1
0.7940078,7133,1
0.71759963,5086,1
0.102776796,7482,0
0.04921207,4690,0
0.9985901,7694,1
0.061572462,11889,0
0.99639964,9155,1
0.9747317,10930,1
0.99159485,12494,1
0.9999989,4245,1
0.03921365,11374,0
0.016169423,2669,0
0.7027414,8573,1
0.0001779924,7325,0
0.97762287,11781,1
0.102051556,9981,0
0.009834498,8918,0
0.9508078,10926,1
0.31295052,6763,0
0.9956877,1591,1
0.003954351,11947,0
0.014050573,12402,0
0.0017420945,12209,0
0.99986875,3187,1
0.0025039574,11900,0
0.9929972,247,1
0.9984113,2179,1
0.23702873,10901,0
0.9795002,10568,1
0.02869016,5029,0
0.9998313,10540,1
0.9935323,3893,1
0.009961575,12214,0
0.97739184,9217,1
0.9367754,2739,1
0.032425195,6378,0
0.033673614,2495,0
0.31057763,860,0
0.34489378,5412,0
0.9585436,9557,1
0.95703596,8532,1
0.8822781,5588,1
0.023676109,6584,0
0.02314653,8366,0
0.24841893,6350,0
0.10810906,6695,0
0.11940542,1383,0
0.035068065,1721,0
0.00077328086,12301,0
0.9979936,7641,1
0.96805215,9885,1
0.9827612,7814,1
0.87638605,6507,1
0.3001107,9980,0
0.18796298,5275,0
0.6894415,8047,1
0.010182635,11518,0
0.9985178,3454,1
0.12514313,12434,0
0.0145508945,2595,0
0.00014767051,1624,0
0.011497706,3834,0
0.00085273385,9570,0
0.933499,8378,1
0.9882244,12371,1
0.7874925,11774,1
0.9932049,2925,1
0.0027428963,5214,0
0.115911014,1587,0
0.3279848,6366,0
0.90889263,5241,1
0.003213358,726,0
0.99481165,10189,1
0.00017575496,2440,0
0.9885204,8422,1
0.13126564,10874,0
0.8591304,3684,1
0.92953277,2511,1
0.98715246,12177,1
0.00853464,184,0
0.9998416,2111,1
0.27672374,12063,0
0.52404076,4220,1
0.9922272,4233,1
0.0013248123,5483,0
0.014592236,3617,0
0.045263063,5178,0
0.99911827,3943,1
0.5194522,7708,1
0.84545845,11782,1
0.99946904,7346,1
0.4942003,10868,0
0.9111567,10217,1
0.9637555,10738,1
0.11064923,11055,0
0.00059500337,9355,0
0.8907078,9319,1
0.94687617,4570,1
0.001989562,3444,0
0.000541009,4475,0
0.9980369,3432,1
0.9400593,1340,1
0.079855315,12442,0
0.9427668,7700,1
0.0024474263,68,0
0.0658502,5170,0
0.9320164,982,1
0.99270666,2409,1
0.002265215,5055,0
0.9978745,2751,1
0.24211255,3388,0
3.20971e-05,7345,0
0.99096185,5322,1
0.9982514,12170,1
0.03204222,10627,0
0.9986243,1549,1
0.0016283761,9744,0
0.002572944,849,0
0.6606713,2033,1
0.96296024,8008,1
0.96205986,4588,1
0.99917424,8746,1
0.022514135,1035,0
0.62048304,1358,1
0.9967451,6637,1
0.5620163,7706,1
0.25864944,7268,0
0.6861816,11580,1
0.98517555,12157,1
0.00080262957,5408,0
0.011895939,8737,0
0.00010575561,1441,0
0.008452486,6875,0
0.0017051956,5726,0
0.0016734898,8845,0
0.42040372,10435,0
0.49651527,8612,0
0.00014033914,38,0
0.9914502,3680,1
0.0072662234,11868,0
0.0020534098,9745,0
0.043661237,493,0
0.020305092,7588,0
0.00056921056,7046,0
0.6789637,9600,1
0.69057286,12148,1
0.9670126,366,1
0.00021033062,8574,0
0.98855734,3625,1
0.8078834,8375,1
0.053148866,3720,0
0.0034547746,7950,0
0.9994173,9991,1
0.032897145,2203,0
0.0016554296,3499,0
0.7754848,262,1
0.07252666,894,0
0.052974403,9498,0
0.10079511,11317,0
0.98421615,547,1
0.9927127,6188,1
0.9900961,11092,1
0.9984315,2481,1
0.021586385,1513,0
0.99517214,7001,1
0.01857689,8900,0
0.99702406,3018,1
0.99042076,516,1
0.060150743,9121,0
0.0011122525,7215,0
0.9973333,5946,1
0.1116423,4800,0
0.00053104735,3266,0
0.98873746,7526,1
0.00051633874,7438,0
0.9724363,10186,1
0.002221918,3759,0
0.7543408,4453,1
0.3905282,936,0
0.0014941394,10728,0
0.99308205,9859,1
0.999919,11459,1
0.25398564,6479,0
0.30712253,7519,0
0.042117506,6054,0
0.0013010502,372,0
0.062146127,1689,0
8.3361825e-05,5652,0
0.9999248,10113,1
0.9942287,7469,1
0.99579054,1082,1
0.9316268,7822,1
0.99461716,1261,1
0.005797379,1698,0
0.002015084,9228,0
0.047453076,10988,0
0.2927645,3790,0
0.986907,12139,1
0.04914999,2032,0
0.7625856,5708,1
0.4797997,8727,0
0.518332,11378,1
0.037372597,2859,0
0.0019388536,11263,0
0.9988636,5886,1
0.95910984,5607,1
0.71293384,4223,1
0.9954332,6236,1
0.12094916,11590,0
0.8914263,440,1
0.00044107437,5523,0
0.2723827,6060,0
0.99981034,882,1
0.010591477,522,0
0.99797326,7589,1
0.99619985,9174,1
0.06343678,8436,0
0.9807567,4498,1
9.551241e-05,5723,0
0.91730314,9785,1
0.81772226,6433,1
0.45256552,1969,0
0.9997156,7925,1
0.99016285,9191,1
0.0682897,9709,0
0.34892306,3267,0
0.99331087,3646,1
0.0028651655,10495,0
0.006299466,3612,0
0.93463516,6982,1
0.047169656,8890,0
0.0005349517,570,0
0.6150032,11371,1
0.99919647,792,1
0.8766297,2770,1
0.013502009,12243,0
0.8504,8955,1
0.8661581,4571,1
0.0009559482,8432,0
0.9077563,794,1
0.003379345,6612,0
0.99073994,4803,1
0.00012364984,9735,0
0.054158658,1181,0
0.012976408,3300,0
0.39582625,12407,0
0.9828489,8958,1
0.08908089,5998,0
0.8983268,3203,1
0.98752207,4208,1
0.0028679017,4114,0
0.9452031,1372,1
0.010558003,6337,0
0.99992216,8569,1
0.9351226,4465,1
0.01662898,11698,0
0.0037728846,462,0
0.9424535,7285,1
0.9977764,12381,1
0.78288996,438,1
0.8874301,11643,1
0.9621345,8696,1
0.8016141,11007,1
0.29722396,7230,0
0.22777472,5320,0
0.9065532,41,1
0.035820387,8625,0
0.00039661225,7243,0
0.7950671,1688,1
0.008788943,4589,0
0.05226168,10075,0
0.35153756,9466,0
0.40875408,1964,0
0.9924439,421,1
0.00028404593,8405,0
0.19660655,125,0
0.0626328,12306,0
0.9962147,11999,1
0.88714594,2070,1
0.22832994,7019,0
0.0016835884,7355,0
0.999652,1962,1
0.9896722,1732,1
0.0004633472,9971,0
0.09895632,2842,0
0.19786826,4818,0
0.07768461,8181,0
0.9991218,9657,1
0.9506534,6701,1
0.76256543,1329,1
0.016450793,1836,0
0.1795417,3341,0
0.03801253,9015,0
0.008477929,11405,0
0.99822694,8693,1
0.97430444,784,1
0.980993,10179,1
0.0031169474,10643,0
0.046123758,7020,0
0.09582585,7573,0
0.02109477,4028,0
0.020362914,12176,0
0.00034308434,2783,0
0.98413026,12237,1
0.10308072,4549,0
0.8291181,1598,1
0.9994657,2163,1
0.0010940409,117,0
0.97250235,1904,1
0.9983171,10666,1
0.9998572,3314,1
0.88586974,7977,1
0.65845776,426,1
0.99211204,4998,1
0.023568481,6645,0
0.5827844,11451,1
0.006877333,5757,0
0.99976516,11829,1
0.10502139,9633,0
0.0002809465,1119,0
0.0013772845,9653,0
0.9977827,9684,1
0.99524826,8759,1
0.000365874,10721,0
0.9666758,1642,1
0.08504953,4829,0
6.146276e-05,8041,0
7.0314177e-06,10555,0
0.7999466,11717,1
0.44138423,10710,0
0.01508978,7296,0
7.1942806e-05,8929,0
0.025999129,6762,0
0.013908803,1835,0
0.9984934,6628,1
0.045890093,1348,0
0.34738284,150,0
0.9607073,4125,1
0.69009876,5431,1
0.03741996,8081,0
0.98139155,11801,1
0.99946755,2867,1
0.9988451,8883,1
0.00038454606,855,0
0.9973189,211,1
0.0014916658,2492,0
0.11679414,4978,0
0.24719891,9715,0
0.8831942,8325,1
0.99961567,900,1
0.019030184,8926,0
0.8466359,3588,1
0.9246882,8987,1
0.76559544,6823,1
0.86996305,5258,1
0.025183126,7137,0
0.035872407,2854,0
0.99960583,10448,1
0.9767089,9669,1
0.007587552,5953,0
0.8132167,1477,1
0.25021926,8333,0
0.97088206,9847,1
0.0010754168,8087,0
0.9491345,3775,1
0.08338526,7709,0
1.630187e-05,9215,0
0.07054527,9581,0
0.012363215,7405,0
0.003370658,7164,0
0.04107771,9475,0
0.009357074,4372,0
0.91448903,1328,1
0.99344724,6192,1
0.0036301017,4022,0
0.008579552,7633,0
0.99041086,5156,1
0.14612588,10679,0
0.040621012,2658,0
0.99995863,3367,1
0.0020461679,7176,0
0.24255055,294,0
0.009433722,6178,0
0.9348571,9573,1
